RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
78745,TX,Austin-Round Rock,Travis County,Austin,83,1710,0.007067138,0.01543943,0.044593769,17391
60619,IL,Chicago-Naperville-Elgin,Cook County,Chicago,84,1403,-0.002842928,-0.005669738,0.040029652,16449
23462,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,Virginia Beach,85,1350,0,0.002227171,0.028179741,21986
28027,NC,Charlotte-Concord-Gastonia,Cabarrus County,Concord,86,1482,0.013679891,0.03131524,0.067723343,21546
94110,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,87,4844,-0.005338809,-0.012838802,0.039931301,13472
33025,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,Miramar,88,1715,0.001167542,0.006455399,0.035003018,25195
75067,TX,Dallas-Fort Worth-Arlington,Denton County,Lewisville,89,1721,0.008792497,0.016538689,0.043662826,12157
90034,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,90,3544,0.005960829,0.010838562,0.030232558,8254
33139,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Beach,91,2041,-0.007778318,-0.013533108,0.017447657,33391
44107,OH,Cleveland-Elyria,Cuyahoga County,Lakewood,92,1270,0.014376997,0.025848142,0.056572379,15245
48197,MI,Ann Arbor,Washtenaw County,Ypsilanti,93,1678,0.003588517,0.004790419,-0.038395415,16826
2169,MA,Boston-Cambridge-Newton,Norfolk County,Quincy,94,2338,0.001713796,0.001713796,0.015638575,15016
11377,NY,New York-Newark-Jersey City,Queens County,New York,95,2207,-0.001357466,-0.008089888,0.003181818,11997
66062,KS,Kansas City,Johnson County,Olathe,96,1746,0.002296211,-0.002855511,-0.001715266,23673
44035,OH,Cleveland-Elyria,Lorain County,Elyria,97,887,-0.002249719,-0.002249719,0.055952381,21015
95630,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Folsom,98,2353,0.004268032,0.006846384,0.056104129,22062
90044,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,99,2441,-0.005702648,-0.019284853,0.046740995,13562
90805,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Long Beach,100,2377,-0.001260504,-0.002517835,0.052235502,15503
80134,CO,Denver-Aurora-Lakewood,Douglas County,Parker,101,2438,0.006606111,0.015410246,0.007021892,21399
60611,IL,Chicago-Naperville-Elgin,Cook County,Chicago,102,2019,0.015082956,0.021761134,0.093716143,30935
90650,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Norwalk,103,2434,0.000411015,-0.000410678,0.043291899,22065
85710,AZ,Tucson,Pima County,Tucson,104,1201,0.005862647,0.012647555,0.053508772,17349
92683,CA,Los Angeles-Long Beach-Anaheim,Orange County,Westminster,105,2984,0.0084488,0.019473864,0.053300388,18101
10314,NY,New York-Newark-Jersey City,Richmond County,New York,106,2189,0.005974265,0.010152284,0.025773196,24984
11211,NY,New York-Newark-Jersey City,Kings County,New York,107,2904,0.013612565,0.041980624,0.066862601,12981
19143,PA,Philadelphia-Camden-Wilmington,Philadelphia County,Philadelphia,108,1176,0.003412969,0.008576329,0.044404973,23089
11234,NY,New York-Newark-Jersey City,Kings County,New York,109,2264,-0.003959525,-0.0109218,0.035208048,21336
85281,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Tempe,110,1443,0.009797061,0.022678951,0.084962406,13224
11355,NY,New York-Newark-Jersey City,Queens County,New York,111,2247,-0.000889284,-0.001333333,0.019047619,14014
30281,GA,Atlanta-Sandy Springs-Roswell,Henry County,Stockbridge,112,1361,0.017189836,0.038138825,0.071653543,20775
85225,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,113,1473,0.011675824,0.025766017,0.091919941,20104
11215,NY,New York-Newark-Jersey City,Kings County,New York,114,2684,-0.005189029,-0.014322438,0.015512675,21015
60617,IL,Chicago-Naperville-Elgin,Cook County,Chicago,115,1395,-0.000716332,-0.003571429,0.03640416,20725
37075,TN,Nashville-Davidson--Murfreesboro--Franklin,Sumner County,Hendersonville,116,1744,0.008675535,0.019883041,0.032563647,22664
94558,CA,Napa,Napa County,Napa,117,2935,-0.007104195,-0.017079705,0.015570934,16689
90026,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,118,2973,0.00779661,0.015022192,0.043890449,9699
87114,NM,Albuquerque,Bernalillo County,Albuquerque,119,1334,0.00984103,0.023791251,0.036519037,20748
32210,FL,Jacksonville,Duval County,Jacksonville,120,1137,0.00530504,0.014272971,0.081826832,19998
43081,OH,Columbus,Franklin County,Westerville,121,1555,0,0,0.025725594,20742
91910,CA,San Diego-Carlsbad,San Diego County,Chula Vista,122,2564,0.009846396,0.022328549,0.053842992,16360
6010,CT,Hartford-West Hartford-East Hartford,Hartford County,Bristol,123,1436,0.0013947,0,0.007719298,19887
17603,PA,Lancaster,Lancaster County,Lancaster,124,1210,0.001655629,0.007493755,0.053089643,19121
78240,TX,San Antonio-New Braunfels,Bexar County,San Antonio,125,1400,0.006470165,0.014492754,0.043219076,12150
89108,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,126,1269,0.010350318,0.020917136,0.068181818,19626
93722,CA,Fresno,Fresno County,Fresno,127,1427,0.009907997,0.025880661,0.05939124,20331
87111,NM,Albuquerque,Bernalillo County,Albuquerque,128,1435,0.01556971,0.029411765,0.031631919,18875
85308,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Glendale,129,1584,0.015384615,0.032594524,0.099236641,21862
79938,TX,El Paso,El Paso County,El Paso,130,1134,0.007104796,0.018867925,0.036563071,20739
76063,TX,Dallas-Fort Worth-Arlington,Tarrant County,Mansfield,131,1920,0.006289308,0.014263074,0.052631579,18971
77459,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,Missouri City,132,1887,0.010712373,0.024429967,0.042541436,22610
48180,MI,Detroit-Warren-Dearborn,Wayne County,Taylor,133,1022,0.010880317,0.026104418,0.033367037,21814
94533,CA,Vallejo-Fairfield,Solano County,Fairfield,134,2129,0.008526765,0.018660287,0.092915811,18108
33908,FL,Cape Coral-Fort Myers,Lee County,Fort Myers,135,1900,-0.016053858,-0.024139702,0.007423118,23249
97229,OR,Portland-Vancouver-Hillsboro,Multnomah County,Portland,136,2382,0.014912654,0.032062392,0.079782412,20722
91709,CA,Riverside-San Bernardino-Ontario,San Bernardino County,Chino Hills,137,3086,0.00162285,0.004230394,0.000973078,21214
75056,TX,Dallas-Fort Worth-Arlington,Denton County,The Colony,138,1832,0.00770077,0.01721266,0.033860045,16075
76028,TX,Dallas-Fort Worth-Arlington,Johnson County,Burleson,139,1627,0.008679479,0.019423559,0.046975547,21516
78577,TX,McAllen-Edinburg-Mission,Hidalgo County,Pharr,140,914,-0.016146394,-0.029723992,0.030439684,16107
44060,OH,Cleveland-Elyria,Lake County,Mentor,141,1282,-0.004658385,-0.015360983,-0.00620155,24795
30040,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,Cumming,142,1740,0.00811124,0.021126761,0.027154664,19954
11238,NY,New York-Newark-Jersey City,Kings County,New York,143,2725,0.001470048,-0.001465738,0.03928299,13094
33024,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,Pembroke Pines,144,1888,0.009625668,0.022198159,0.049471929,25577
98012,WA,Seattle-Tacoma-Bellevue,Snohomish County,Bothell,145,2415,0.007929883,0.015559294,0.051371354,20532
95608,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Carmichael,146,1921,0.005232862,0.011052632,0.050875274,18378
14850,NY,Ithaca,Tompkins County,Ithaca,147,1765,-0.009539843,-0.017260579,-0.063163482,12459
43055,OH,Columbus,Licking County,Newark,148,915,-0.006514658,-0.023479189,-0.02866242,20761
85364,AZ,Yuma,Yuma County,Yuma,149,898,-0.001112347,0.003351955,0.025114155,17705
43123,OH,Columbus,Franklin County,Grove City,150,1415,0.002834869,0.009272468,0.022398844,21884
15601,PA,Pittsburgh,Westmoreland County,Greensburg,151,951,-0.011434511,-0.01552795,-0.029591837,19329
33647,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,Tampa,152,1820,0.015625,0.030577576,0.071849234,21129
27587,NC,Raleigh,Wake County,Wake Forest,153,1658,0.010359537,0.018427518,0.015931373,22303
80013,CO,Denver-Aurora-Lakewood,Arapahoe County,Aurora,154,2009,0.009547739,0.018762677,0.049086162,23730
11385,NY,New York-Newark-Jersey City,Queens County,New York,155,2212,-0.001805054,-0.00450045,0.004085338,14730
90066,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,156,4395,0.006181319,0.009416628,0.038516068,13026
92677,CA,Los Angeles-Long Beach-Anaheim,Orange County,Laguna Niguel,157,3419,0.004701734,0.009447889,0.019683865,24356
20906,MD,Washington-Arlington-Alexandria,Montgomery County,Silver Spring,158,2032,0.000492368,-0.004409603,0.04312115,22487
44256,OH,Cleveland-Elyria,Medina County,Medina,159,1572,-0.002538071,-0.002538071,0.053619303,21353
77845,TX,College Station-Bryan,Brazos County,College Station,160,1643,-0.007250755,-0.005447942,-0.054660529,18781
47906,IN,Lafayette-West Lafayette,Tippecanoe County,West Lafayette,161,1383,0.005818182,0.013186813,0.088119591,12825
6902,CT,Bridgeport-Stamford-Norwalk,Fairfield County,Stamford,162,2231,-0.012394865,-0.029155788,-0.008444444,15621
2148,MA,Boston-Cambridge-Newton,Middlesex County,Malden,163,2339,0.024529128,0.050291872,0.087401209,13865
65807,MO,Springfield,Greene County,Springfield,164,874,0.010404624,0.019836639,0.060679612,16912
60620,IL,Chicago-Naperville-Elgin,Cook County,Chicago,165,1427,-0.00070028,0.002106742,0.028839221,16446
30318,GA,Atlanta-Sandy Springs-Roswell,Fulton County,Atlanta,166,1477,0.003396739,0.008191126,0.093264249,15870
78641,TX,Austin-Round Rock,Williamson County,Leander,167,1637,0.006765068,0.018034826,0.042675159,17783
45011,OH,Cincinnati,Butler County,Hamilton,168,1504,-0.004632694,-0.015062213,0.00669344,22410
11373,NY,New York-Newark-Jersey City,Queens County,New York,169,2218,0.002712477,0.00045106,0.008640291,12820
92336,CA,Riverside-San Bernardino-Ontario,San Bernardino County,Fontana,170,2345,0.009470512,0.021786492,0.047342564,23478
99301,WA,Kennewick-Richland,Franklin County,Pasco,171,1406,0.015162455,0.030791789,0.049253731,19465
95823,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento,172,1623,0.004331683,0.005576208,0.053896104,16527
7302,NJ,New York-Newark-Jersey City,Hudson County,Jersey City,173,2495,-0.016554986,-0.037051332,-0.028804982,17245
27410,NC,Greensboro-High Point,Guilford County,Greensboro,174,1491,0.007432432,0.019835841,0.055949008,19381
30188,GA,Atlanta-Sandy Springs-Roswell,Cherokee County,Woodstock,175,1562,0.007741935,0.016265452,0.065484311,23137
46307,IN,Chicago-Naperville-Elgin,Lake County,Crown Point,176,1567,0.014239482,0.040504648,0.046760187,29138
92345,CA,Riverside-San Bernardino-Ontario,San Bernardino County,Hesperia,177,1436,0.014124294,0.036075036,0.070842655,21590
65203,MO,Columbia,Boone County,Columbia,178,1290,0.007025761,0.02056962,0.05478332,19675
77450,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,Cinco Ranch,179,1883,0.002662407,0.006413683,0.00319659,20357
89121,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,180,1313,0.013117284,0.026583268,0.086021505,17100
27406,NC,Greensboro-High Point,Guilford County,Greensboro,181,959,0.001043841,0.00524109,0.063192905,21873
92126,CA,San Diego-Carlsbad,San Diego County,San Diego,182,2669,0.008692366,0.020259939,0.067173131,19533
98103,WA,Seattle-Tacoma-Bellevue,King County,Seattle,183,2655,0.014132926,0.026682135,0.03307393,17669
27610,NC,Raleigh,Wake County,Raleigh,184,1306,0.006163328,0.013188518,0.045636509,21176
92804,CA,Los Angeles-Long Beach-Anaheim,Orange County,Anaheim,185,2744,0.000364564,0.002191381,0.039393939,14541
8753,NJ,New York-Newark-Jersey City,Ocean County,Toms River,186,1914,-0.001043841,0.003144654,0.036836403,24426
75228,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,187,1465,0.006181319,0.011042098,0.0397445,15277
60634,IL,Chicago-Naperville-Elgin,Cook County,Chicago,188,1871,0.001605996,0,0.047006156,20403
92101,CA,San Diego-Carlsbad,San Diego County,San Diego,189,2676,0.001122334,0.00412758,0.038819876,13436
20011,DC,Washington-Arlington-Alexandria,District of Columbia,Washington,190,2700,-0.000370233,-0.009174312,0.028179741,17119
43130,OH,Columbus,Fairfield County,Lancaster,191,1085,0.012126866,0.006493506,0.043269231,19286
28078,NC,Charlotte-Concord-Gastonia,Mecklenburg County,Huntersville,192,1681,0.012040939,0.026251526,0.050625,22601
92503,CA,Riverside-San Bernardino-Ontario,Riverside County,Riverside,193,2072,0.009254749,0.021192706,0.069143447,19536
76244,TX,Dallas-Fort Worth-Arlington,Tarrant County,Fort Worth,194,1835,0.009906439,0.020011117,0.049170955,20188
29732,SC,Charlotte-Concord-Gastonia,York County,Rock Hill,195,1399,0.010108303,0.014503263,0.076982294,19635
91911,CA,San Diego-Carlsbad,San Diego County,Chula Vista,196,2443,0,0.001229508,0.043125534,15293
28314,NC,Fayetteville,Cumberland County,Fayetteville,197,889,0,0.02301496,0.097530864,18720
95747,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Roseville,198,2314,0.007400958,0.017142857,0.055656934,20214
34135,FL,Cape Coral-Fort Myers,Lee County,Bonita Springs,199,2207,-0.013410818,-0.013851653,0.008683729,21678
90019,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,200,3248,0.002469136,-0.002457002,0.032750397,9766
75035,TX,Dallas-Fort Worth-Arlington,Collin County,Frisco,201,2168,0.013557737,0.031398668,0.048863087,19748
60016,IL,Chicago-Naperville-Elgin,Cook County,Des Plaines,202,1726,0.007589025,0.017088981,0.047965999,22478
11233,NY,New York-Newark-Jersey City,Kings County,New York,203,2343,0.003426124,0.003856041,0.030343008,10629
87120,NM,Albuquerque,Bernalillo County,Albuquerque,204,1267,0.004758128,0.011173184,0.028409091,21607
77095,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,205,1718,0.004091175,0.009400705,-0.004057971,20403
33009,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,Hallandale,206,1689,0.001185536,0.004161712,0.027997565,35719
22191,VA,Washington-Arlington-Alexandria,Prince William County,Woodbridge,207,1874,0.00374933,0.006985492,0.044593088,17471
40475,KY,Richmond-Berea,Madison County,Richmond,208,1032,-0.034611787,-0.071107111,-0.077747989,16421
23320,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,Chesapeake,209,1551,-0.001930502,-0.00128783,0.019053876,19774
32218,FL,Jacksonville,Duval County,Jacksonville,210,1341,0.010550113,0.022883295,0.079710145,17149
21740,MD,Hagerstown-Martinsburg,Washington County,Hagerstown,211,1104,-0.005405405,-0.008976661,0.039548023,19886
94536,CA,San Francisco-Oakland-Hayward,Alameda County,Fremont,212,3271,0.009567901,0.021868166,0.055501775,19012
7002,NJ,New York-Newark-Jersey City,Hudson County,Bayonne,213,1835,-0.014500537,-0.040773654,-0.016613076,13875
34711,FL,Orlando-Kissimmee-Sanford,Lake County,Clermont,214,1674,0.010259505,0.023227384,0.095549738,21296
43230,OH,Columbus,Franklin County,Gahanna,215,1516,0,0.000660066,0.043358568,18797
30052,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Loganville,216,1503,0.006697924,0.012121212,0.051784465,21200
90280,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,South Gate,217,2395,-0.000417362,-0.002914238,0.044938918,14311
30041,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,Cumming,218,1924,0.007857517,0.019067797,0.045652174,20249
92592,CA,Riverside-San Bernardino-Ontario,Riverside County,Temecula,219,2383,0.008037225,0.020119863,0.041065968,23438
89117,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,220,1595,0.009493671,0.024405909,0.100759144,18783
30080,GA,Atlanta-Sandy Springs-Roswell,Cobb County,Smyrna,221,1559,0.002572347,0.002572347,0.012337662,15913
46227,IN,Indianapolis-Carmel-Anderson,Marion County,Indianapolis,222,1151,0.004363002,0.006118881,0.021295475,13858
19111,PA,Philadelphia-Camden-Wilmington,Philadelphia County,Philadelphia,223,1316,0.013867488,0.02173913,0.035405193,17164
74012,OK,Tulsa,Tulsa County,Broken Arrow,224,1254,0.007228916,0.012106538,0.020341741,20872
27834,NC,Greenville,Pitt County,Greenville,225,913,0.003296703,0.007726269,0.086904762,14643
21117,MD,Baltimore-Columbia-Towson,Baltimore County,Owings Mills,226,1804,0.000554631,0.001665741,0.011777902,16441
90201,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Bell,227,2355,-0.000848536,0.000424809,0.044345898,8172
32256,FL,Jacksonville,Duval County,Jacksonville,228,1344,0.011286682,0.024390244,0.077786688,13623
11236,NY,New York-Newark-Jersey City,Kings County,New York,229,2194,-0.006790403,-0.019660411,0.009199632,16097
38401,TN,Nashville-Davidson--Murfreesboro--Franklin,Maury County,Columbia,230,1258,0.007205765,0.0064,0.021933387,24377
91730,CA,Riverside-San Bernardino-Ontario,San Bernardino County,Rancho Cucamonga,231,2200,0.003191974,0.006864989,0.042654028,15928
89052,NV,Las Vegas-Henderson-Paradise,Clark County,Henderson,232,1933,0.016833246,0.037017167,0.075083426,21613
32244,FL,Jacksonville,Duval County,Jacksonville,233,1238,0.008964955,0.023986766,0.084063047,18573
60628,IL,Chicago-Naperville-Elgin,Cook County,Chicago,234,1392,-0.002150538,-0.003579098,0.033407572,20628
10457,NY,New York-Newark-Jersey City,Bronx County,New York,235,1990,0.003530005,0.00708502,0.08328797,3438
32822,FL,Orlando-Kissimmee-Sanford,Orange County,Orlando,236,1327,0.00530303,0.012204424,0.07016129,16144
92109,CA,San Diego-Carlsbad,San Diego County,San Diego,237,3098,0.006170835,0.016737775,0.072714681,15216
