,UP_INSTNM,Online
328,SAINTJOSEPH'SCOLLEGENEWYORK,True
329,SAINTJOSEPH'SUNIVERSITY,True
330,SAINTLEOUNIVERSITYONLINE,True
331,SAINTLOUISUNIVERSITYMAINCAMPUS,True
332,SAINTMARY'SUNIVERSITYOFMINNESOTA,True
333,SAINTMARYOFTHEWOODSCOLLEGE,True
334,SAINTTHOMASUNIVERSITY,True
335,SAINTXAVIERUNIVERSITY,True
336,SALEMUNIVERSITY,True
337,SAMHOUSTONSTATEUNIVERSITY,True
338,SAMFORDUNIVERSITY,True
339,SANJOAQUINVALLEYCOLLEGE,True
340,SAVANNAHCOLLEGEOFARTANDDESIGN,True
341,SAYBROOKUNIVERSITYHYBRIDONLINE,True
342,SETONHALLUNIVERSITY,True
343,SHILOHUNIVERSITY,True
344,SHORTERUNIVERSITY,True
345,SIENAHEIGHTSUNIVERSITY,True
346,SIMMONSUNIVERSITYSCHOOLOFSOCIALWORK,True
347,SOUTHCOLLEGE,True
348,SOUTHDAKOTASTATEUNIVERSITY,True
349,SOUTHUNIVERSITYONLINE,True
350,SOUTHEASTMISSOURISTATEUNIVERSITY,True
351,SOUTHEASTERNOKLAHOMASTATEUNIVERSITY,True
352,SOUTHEASTERNUNIVERSITY,True
353,SOUTHERNARKANSASUNIVERSITY,True
354,THESOUTHERNBAPTISTTHEOLOGICALSEMINARY,True
355,SOUTHERNILLINOISUNIVERSITYCARBONDALE,True
356,SOUTHERNMETHODISTUNIVERSITY,True
357,SOUTHERNNEWHAMPSHIREUNIVERSITYONLINE,True
358,SOUTHERNOREGONUNIVERSITY,True
359,SOUTHERNUNIVERSITYANDAMCOLLEGE,True
360,SOUTHERNUTAHUNIVERSITY,True
361,SOUTHWESTERNASSEMBLIESOFGODUNIVERSITY,True
362,SOUTHWESTERNCHRISTIANUNIVERSITY,True
363,SOUTHWESTERNCOLLEGEKS,True
364,SOUTHWESTERNOKLAHOMASTATEUNIVERSITY,True
365,SPRINGARBORUNIVERSITYONLINE,True
366,STBONAVENTUREUNIVERSITYONLINE,True
367,STCATHERINEUNIVERSITY,True
368,STJOHN'SUNIVERSITY,True
369,STANFORDUNIVERSITY,True
370,STEPHENFAUSTINSTATEUNIVERSITY,True
371,STEPHENSCOLLEGE,True
372,STERLINGCOLLEGEKS,True
